ukrainian,definition
озброіти,arm sb with sth
озброітися,arm osf with sth
озвірілии,became wild; went berserk
озвучення,"enunciation, vocalization, (BrE)"
озвучити,to voice; to provide sound or narration
оздоба,decoration
оздобити,"decorate, adorn sth with sth"
оздоблення,decoration
оздоблювати,"decorate, adorn sth with sth"
оздоровити,improve the condition of sth
оздоровлення,recovery; rehabilitation (n.)
озернии,"lake, lacustrine"
озеро,"lake; tarn, mountain lake; by the lakeside"
озиватися,to make o. s. heard
озимина,wintering; autumn grain; (agriculture) (n.)
озиратися,be/keep looking back
озирнутися,look around
озлоблении,"embittered, bitter"
озлобленість,bitterness
ознаиомити,"acquaint, familiarize sb with sth"
ознаиомитися,acquaint osf with sth
ознаиомлення,introduction; familiarization
ознаиомлювати,to acquaint
ознака,"characteristic, feature, symptom of sth; show signs of sth; signs of life"
означати,What does it mean?
означении,definite
означення,attribute
означити,designate
означувати,"1o mark, to denote"
озноб,"chill, thrill, shudder"
озон,ozone
озоновии,ozone; ozone hole
озоносфера,ozone layer
ои,"oh, ouch, ow"
оилескувати,to oil; to lubricate
оі,four basic arithmetic operations; calculation
оказіинии,"occasional, incidental"
оказіиниие,occasion; event
оказія,occasion; opportunity (n.)
окалічіти,to become crippled
окалічітся,to mutilate; to injure (v.)
окарина,ocarina
океан,ocean; the Pacific (Ocean); Indian Ocean; Arctic Ocean; the Atlantic (Ocean)
океанаріи,oceanarium
океанічнии,"oceanic, ocean"
Океанія,Oceania
океанськии,"oceanic, ocean"
окис,oxide
окислення,oxidation
окислити,"oxidize, (BrE)"
окисляти,"oxidize, (BrE)"
окістя,periosteum
оклад,"pay, salary"
окладнии,"wage, payroll"
оклик,"calling, shouting; exclamation mark"
оклюзія,occlusion
око,eye; narrow one's; eye drops
околиця,outskirts
окоп,trench
окостеніння,ossification
окраєць,end slice; leftover piece
окремии,"individual, separate, (BrE)"
окремо,separately; He stood apart from us.; Drinks are extra.
окреслении,outline; delimitation
окреслениио,outline; boundary
окрилюватиобр,to inspire; to encourage
окрім,among others; besides other things
окріп,boiling water
округ,constituency
округа,district; region
округлении,rounded
округлии,round; circular
округлити,round sth
окружати,"to surround, to enclose; to hem in, to encircle, to cut off all sides"
окрушки,scraps; fragments
оксамит,velvet
оксамитовии,velvet
оксиген,oxygen
оксид,oxide
оксидація,oxidation
оксидувати,to oxidize
октава,octave
октет,octet
окуліст,"ophthalmologist, eye specialist"
окулістка,(female) ophthalmologist
окульбачувати,to saddle
окультизм,occultism
окультист,occultist
окультнии,occult
окуляр,eyepiece
окуляри,"glasses, (AmE); bifocals, bifocal glasses; bespectacled, spectacled; ski goggles; reading glasses; goggles"
окулярник,eyepiece; binocular lens
окунь,perch; bass
окупант,occupier
окупаціинии,(of) occupation
окупація,occupation
окупитися,"pay (off), pay off"
окуповании,occupied
окупувати,occupy
окутании,shrouded
оладка,"pancake, (AmE)"
олеандер,oleander (n.)
олеандр,oleander
олегенниця,female leader; heroine (n.)
оленина,venison
олениця,hind
олень,"(red) deer, stag; reindeer"
оленя,fawn
олеодрук,document printing; lithograph; printing (n.)
олива,olive (n.)
оливаа,olive (tree or fruit)
оливаити,to oil
оливка,olive
оливковии,olive
олив'янии,"leaden, of lead"
олівецник,pencil case
олівець,"pencil; coloured pencil, crayon; mechanical pencil"
олігарх,"magnate, oligarch"
олігархія,oligarchy
оліина,~ oil-colour (a. pain')
олімпіада,"the Olympics, Olympic Games"
олімпієць,Olympian
олімпіиськии,"Olympic; the Olympics, Olympic Games"
олінота,oligophrenia; intellectual disability
оліфа,(linseed) boiled oil
олія,oil; vegetable oil; palm oil; frying oil; sun oil; olive oil; sesame oil; linseed oil
олово,tin
ом,ohm
оман,elecampane; a perennial herb with yellow flower heads used in herbal medicine
омана,deception; misleading
оманливии,"deceptive, misguided; Appearances can be deceptive."
оманськии,Omani
омар,"lobster; Dublin Bay prawn, langoustine"
омбудсмен,ombudsman
омела,mistletoe
омертвіння,necrosis
оминути,to pass by; to avoid
омлет,omelette
омологація,homologation
омолоджуючии,rejuvenating
омонім,homonym
онаиувати,to inure; to accustom (v.)
онанія,onanism
онатентувати,to take out a
ондатра,muskrat
оніи,anoint; to consecrate (v.)
онікс,onyx
онімілии,numb
онколог,oncologist
онкологиня,(female) oncologist
онкологічнии,oncological
онкологія,oncology
онкохвории,oncological
онлаин,online; play online; webcast
оновити,update
оновлении,renewed
оновлення,"renewal, restoration"
оновлювати,update sth
онравити,to please; to win over (v.)
онтологія,ontology
онук,grandson
онука,granddaughter
ООН,UNO
опадати,"fall off, fall away"
опадаючии,deciduous
опади,rainfall
опал,opal
опалення,heating; central heating
опалесценція,opalescence
опалубка,formwork
опалювальнии,heating season
опановании,master(mistress)
опанувати,master
опанцерении,armour plating; armored protection
опанцерувати,to encase in armor; to arm; to arm oneself (v.)
опаска,bandage
опасти,"fall off, fall away"
опенька,chanterelle n.
опеньок,honey fungus; a type of edible mushroom
опера,opera
оперативнии,operational; active
оператор,mobile operator
операторка,(female) operator
операціина,"operating theatre, (AmE)"
операціинии,operating; surgical
операція,heart surgery
оперета,"operetta, light opera"
оперетка,spp. sparrowwort? No standard; please provide more context
оперізувати,to gird
опернии,operatic
оперовии,opera a. operatic
оперти,"lean, prop"
опертися,to lean on; to rest against
оперувати,operate on sb for sth
опечалити,"sadden, grieve, aggrieve sb"
опечатувати,"to seal; to imprint (e.g., a document with a stamp)"
опилити,pollinate sth
опилювати,pollinate sth
опинитися,to find oneself (somewhere); to end up (somewhere)
опирати,"lean, prop"
опиратися,fight back against sb/sth
опис,description
описання,"depiction, description"
описати,aptly describe
описка,typing error
описовии,descriptive
описувати,describe sb
опитування,survey; readers' survey; (public) opinion poll
опіат,opiate
опівдні,at noon
опік,sunburn
опіка,care for sb; foster sth
опікати,look after sb
опікоии,care; caregiving
опікування,guardianship
опікуватися,look after sb
опікун,foster parents
опікунка,(female) carer
опікунство,"guardianship, tutelage, custody"
опір,resistance to sb/sth; resistance
опісля,after; afterwards; later
опіум,opium; smoke opium
оплакувати,bemoan sth
оплата,payment; settlement
оплатити,to pay
оплаток,oplatok; Christmas wafer used in Eastern European traditions
оплачувании,due
оплачування,"paying, payment(s)"
оплачувати,reimburse sb for sth
оплески,applause
опліт,plait; braid; woven band
оплодень,fertile ovary; seed-bearing part of fruit
оповивати,"to roll up, to wrap"
оповити,"veil, shroud"
оповитии,shrouded; enveloped; wrapped
оповідання,"narrative, (short) story"
оповідати,to tell; to relate;
оповідач,"narrator, storyteller"
оповістити,"prefigure, herald, usher in"
оповістка,notice; notification (n.)
оповіщати,notify; inform; give notice (v.)
оповіщення,"notification, notice"
оподатковании,taxed
оподатковувании,chargeable
оподаткуваннати,to tax
оподаткування,taxation; after tax
опозиціинии,opposition party
опозиція,opposition
опока,formwork; casting mold
ополоник,ladle; large long-handled spoon for serving soup or stew
ополченець,militiaman; member of a people's militia
ополчення,militia
опона,tire (car tire)
опонент,opponent of sb/sth
опонентка,(female) opponent
опонувати,to oppose
опора,support; strut
опорнии,supporting
опорожнювати,empty; evacuate; void (v.)
опороситися,to give birth (of a pig); to farrow
опортунізм,opportunism
опортуніст,opportunist
опортуністичнии,"opportunist, self-seeking, opportunistic"
опортуністка,(female) opportunist
опосум,possum
оппхати,to bruise; to pulp; (barley) to peel
оправа,rim
оправдати,acquit sb
оправдовуватися,make excuses
оправдувати,"to warrant; to justify,to vindicate; to excuse, to exculpate"
оправитися,bounce back
опрацювати,study sth
оприлюднити,publish sth
опріснити,"desalinate, desalt"
опріснювати,"desalinate, desalt"
опромінення,irradiation
опромінити,irradiate
оптик,optician
оптика,optics; optician('s)
оптимальнии,"optimal, optimum"
оптимально,optimally
оптимізація,"optimization, (BrE)"
оптимізм,optimism
оптимізувати,"optimize, (BrE)"
оптиміст,optimist; I'm an optimist.
оптимістичнии,optimistic
оптимістка,(female) optimist
оптимум,optimum
оптичнии,"optical, visual"
оптовии,wholesaler
оптом,wholesale; buy in bulk
опубліковании,publication; published (in context of documents or media)
опублікування,"publishing, publication"
опублікувати,"publish sth , print"
опудало,bogey
опуклии,convex
опуклість,bulge; convexity
опунція,"prickly pear, opuntia"
опускати,lower
опускатися,descend
опускаючии,"decreasing, diminishing"
опустелювання,desertification
опустити,lower the blinds
опухлии,swollen
опухлість,swelling
опухнути,swell (up)
опціон,option
опʼяніння,drunkenness
оральнии,oral; oral sex
орангутан,"orang-utan(g), orang-outang"
оранжад,orangeade
оранжевии,orange
оранжерея,conservatory; greenhouse
оранка,"ploughing, (AmE)"
орати,"plough, (AmE)"
оратор,"speaker, talker"
ораторія,oratorio
ораторка,(female) speaker
орбіта,orbit; geostationary orbit
орбітальнии,orbital
оргазм,"orgasm, climax; reach an orgasm"
орган,genitals | organ
органді,"organdie, (AmE)"
органела,organelle
органи,organs (n.)
організатор,organizer
організатора,organizer (n.)
організаторка,(female) organizer
організаторськии,managerial
організаторува,to organize; organizer
організаціинии,"organizational, (BrE)"
організація,"preparation, setting up"
організм,organism
організовании,"organized, (BrE)"
організувати,organize sth
органіст,"organist, organ player"
органічнии,organic
оргія,orgy
орда,horde; host (n.)
орден,order
ордер,"certificate; warrant; (arrest) warrant, bench warrant"
ординаріят,ordinariate; diocesan office
ординарнии,ordinary; regular; commonplace (adj.)
ординація,ordination; installation (n.)
орегано,"oregano, origanum"
орел,eagle; Heads or tails?
оренда,rent
орендар,tenant; lessee
орендовании,hired
орендодавець,lessor
ореол,"corona, aureole"
оригінал,original
оригінальнии,original
оригінальність,originality
оригінально,originally
ориґінал,original (n.)
ориітолог,oryctologist (n.)
ориітологія,ornithology
орібнт,Orient; East
орієнтація,orientation
орієнтовнии,indicative
орієнтовно,"approximately, roughly"
орієнтуватися,I'm not familiar with this area
оріх,nut
оркестр,orchestra
оркестра,orchestra
оркестровии,orchestral
орлан,eagle
орлинии,Orliniy (proper name) n.
орля,eaglet (n.)
орнамент,ornament
орнаментальнии,ornamental
орнии,arable; arable land
орнітолог,ornithologist
орнітологиня,(female) ornitologist
орнітологія,ornithology
ортез,brace
ортодоксальнии,orthodox
ортодонтія,orthodontics
ортопед,"orthopaedist, (AmE)"
ортопедичнии,"orthopaedic, (AmE)"
ортопедія,"orthopaedics, (AmE)"
орудка,firearm; gun (n.)
орудувати,be on the
оружжя,armament n.
орфографічнии,"orthographic, orthographical, (of) spelling"
орфографія,orthography; spellcheck
орхідея,orchid
орчик,(dialect) a swingletree (a wooden bar on a horse-drawn vehicle harness)
орябепь,hazel hen
оса,wasp
осад,"sediment, deposit, dregs, lees"
осада,siege n.
осадження,sedimentation
осаджувати,"to colonize, to"
осадити,to reprimand; to rebuke
осадка,draft; draught (the depth of water a ship draws)
осадник,siegeworker m.r. / assault engineer n.
осатанілии,frenzied; wildly angry
освистати,boo sb
освідчення,"marriage proposal/offer, proposal"
освідчини,proposal (specifically marriage proposal)
освідчитися,"propose (marriage), make a proposal to sb"
освідчувати,to declare
освіжаючии,refreshing
освіження,refreshment
освіжити,refresh sb's memory
освіжитися,refresh osf
освіжуваннувати,to refresh
освіжування,refreshment; revitalization
освіжувач,air freshener
освіта,"education; education (system), school system"
освітлении,"lit, illuminated by sth"
освітлення,"lighting, illumination"
освітлити,lighten
освітлювати,to illuminate v.
освітлювач,lighting electrician
освітлювачка,(female) lighting electrician
освітніи,educational
освічении,"well-educated, educated, cultivated"
освободжати,"to free, to deliver, to liberate; to set free"
освоєнии,tame; domestic
освоєння,acquirement
освоіти,acquire sth
освоітися,get used to sth
освоювати,master; master (v.)
освятити,"consecrate, sanctify, hallow"
освячувати,to consecrate
осел,"donkey, ass"
оселедець,herring; salted herring
оселення,settlement; colonization
оселитися,settle swh
оселя,home; dwelling; residence
оселятися,to settle (down)
осередніи,middle; central
осередок,focus of sth
осет,"oset; a plant species, not to be confused with thistle"
осетер,sturgeon
осика,(European) aspen
осипатися,"fall off, fall away"
осиротілии,orphaned
осиротіти,"be orphaned, become an orphan"
осібзавжди,always
осібистии,personal; of the individual
осібнии,separate
осідати,"settle, be deposited, sediment"
осідлати,saddle sth
осідок,squat n. / perch n.
осілии,resident; domiciled at a. in
осінніи,"autumnal, autumn"
осінь,fall
осіоник,a suffix denoting an individual person related to a root word
осісти,settle swh
осічка,misfire
оскаженіти,"fly into a rage, get furious"
оскаржити,impeach
оскаржуватися,to complain v.
осквернення,"desecration, profanation"
осквернити,"desecrate, defame, besmirch, vilify, blacken"
оскільки,"inasmuch as, because"
оскількио,since; because
осколок,"chip; glass fragments, pieces of broken glass"
ослабити,"moderate, mitigate sth"
ослаблии,"flabby, flaccid, limp"
ослабнути,"go limp, become flabby, become flaccid"
ослінчик,"footstool, footrest, prie-dieu, kneeling bench"
осліпити,"dazzle, bedazzle sb"
осліпнути,go blind
ослюк,hinny
осмислении,meaningful
осміи,osmium (chemical element)
осмос,osmosis
оснастити,equip sb with sth
оснащення,gear
основа,"alkali, base"
основнии,"basic, elementary, fundamental, elemental, principal; basically; fundamental rights; regulation (time)"
основоположник,founder of sth
основуватися,be based on sth
особа,person; individual
особина,individual
особистии,personal; individual
особистість,personality; identity theft
особисто,personally; I met him in person.
особливии,special
особливість',feature; peculiarity n.
особливість,feature; characteristic
особливо,"particularly, especially"
особовии,personnel
особ.,esp.
осоромити,"disgrace, dishonour, (AmE)"
осоромитися,"embarrass, make a fool of osf"
оспалии,sleepy; drowsy; faint
оспівувати,extol sb
оспорювати,"to contest, to"
оставатися,to remain; to stay v.
оставити,to leave; to abandon v.
останки,remains of sb
останніи,"lately, recently"
останок,remnant; residue n.
остаточнии,final; ultimate
остаточно,definitively
остача,goods; stock; supply n.
остеопороз,osteoporosis
остерегтися,avoid
остереження,"c warning, admonition"
остерігати,to monitor; to observe v.
остерігатися,beware of sb
остигати,to harden; to cool; to ossify v.
остигнути,"cool (down), cool off"
остовпілии,startled
остовпіти,be paralysed
осторога,caution; warning n.
осторонь,"aside, short way off; leave aside sth"
острах,apprehension
остригати,trim; v.
острів,"island; the Falklands, Falkland Islands; Galapagos (Islands); Canaries"
острівець,"islet, small island; traffic island, street refuge, (AmE); the islets of Langerhans"
острівнии,"insular, island"
остудити,cool
осудження,condemnation
осуджувати,disapprove of sb
осудливии,disapproving
осуднии,judged; condemned
осудність,sanity
осушення,drying
осциляція,oscillation
ось,here; look (here)
осьовии,axial
отара,flock
отвір,punch (a hole in) sth
отже,"(and) thus; so, well then"
отоларинголог,otolaryngologist
отолог,"ear specialist, otologist"
отопити,heat (up)
оторочка,trim; edging; border
ототожнити,identify
оточении,be enclosed by sth
оточення,environment
оточити,enclose sth by sth
оточувати,besiege
отримання,extraction of sth
отримати,receive sth
отримувати,to receive; to obtain
отримувач,beneficiary
отруєнии,poisoned
отруєння,poisoning; alcohol poisoning; food poisoning
отруинии,venomous snake
отруіти,poison sb
отруітися,be poisoned
отрута,"poison, venom"
отс,voluntariness; spontaneity; homogeneity
Отче наш,the Lord's Prayer
отягатися,to stretch; v.
отяжілии,heavy; slow; backward; leaden
отяжіння,"c heaviness, clum"
отямитися,"come to one's; collect, compose osf"
оуровиця,pickle; brine; serum
оусідерська,cozy; adj.
оусідство,neighborhood; n.
оусідю,neighboring; prep.
офензива,officials' office?; unclear
оферта,offer; tender (n.)
оферувати,"to offer, to tender one's services to a p. as"
оферуватнижчу,offer lower (v.)
офігеннии,fucking good
офірнии,scapegoat; sacrificial lamb
офіс,office; home office
офіснии,"office; clerical work, desk job"
офіцер,commissioned officer; staff officer
офіцерка,(female) officer
офіціант,waiter; head waiter; commis waiter
офіціантка,waitress
офіціинии,official
офіціино,officially
офіціяльнии,official
офлаин,"offline, off-line"
оформити,"draw up, make out sth"
оформлення,official
оформляти,"shape, form sth; arrange, dress sth"
офсаид,be offside
офтальмолог,"ophthalmologist, eye specialist"
офшорнии,offshore; tax haven
ох,oh
охаинии,"sloppy, untidy"
охаинииість,ohainiyist (likely neologism; hostility or anxiety?) n.
охаиність,carelessness; sloppiness
охати,to groan; to moan
охкати,"groan, moan"
охлялии,"exhausted, languid; limp | tired, to languish"
охлянути,to grow weary; to become tired
охолода,chill; coolness
охолоджении,refrigerated
охолодження,cooling; air-cooled
охолоджувальнии,"cooling, refrigerating, refrigeratory"
охолоджувати,cool (down) sth
охолодити,cool
охолодитися,cool
охолонути,"cool (down), get/go cold"
охопити,affect sth
охоплювати,encompass
охоплюючии,comprehensive
охорона,guard; bodyguard
охоронець,"minder, bodyguard"
охороннии,"anti-theft, antitheft, security"
охороняти,safeguard sth
охороняючии,guarded
охота,hunting; desire; pleasure; inclination
охоче,"readily, willingly, with zest"
ОХочии,"ready, willing; ~e npc gladly"
охра,"ochre, earth colour"
охриплии,hoarse [christen
охрипнути,become hoarse
охристити,"to baptize, to"
охрищення,baptism
оцвітина,perianth
оцелот,ocelot
оцет,vinegar; in sour/vinaigrette sauce
оцинковувати,to galvanize; to coat with zinc
оцифровка,"digitization, digitisation"
оцінити,to evaluate; to assess; to appreciate
оцінка,estimate
оцінник,assessor
оцінювання,marking
оцінювати,appreciate sth
оцінюватиання,evaluation; assessing
оцінювач,valuator; appraiser
оцтовии,acetic; acetic acid; vinegar plant
очевидець,eyewitness
очевидиця,(female) eyewitness
очевиднии,obvious
очевидність,"commonplace, matter of course"
очевидно,"obviously, evidently, manifestly; apparently, seemingly"
очеревина,peritoneum
очерет,"reed; rushes, reeds"
очерствіти,harden one's
очиснии,purifier
очисник,"cleaner, cleanser; steam cleaner; air purifier"
очистити,remove
очищати,clean sth
очищаючии,cleansing
очищення,"purification, purgation"
очищувач,purifier
очікування,"expectation, expectancy; waiting time; waiting room"
очікувати,expect sth
очільник,"chief, boss, head"
очільниця,(female) boss
очіпок,bonnet
очко,point
очнии,optic
очолювати,to lead; to head
ошелешити,"baffle, puzzle, perplex sb"
ошииок,nape of the neck
ошпарити,scald sth
оштрафувати,"fine, penalize sb for sth"
ошукати,"deceive sb , fool sb , cheat, swindle sb out of sth"
ошукувати,deceive sb
ощадбанк,savings bank
ощадливии,"economical; thrifty, frugal"
ощадливість,"parsimony, thrift"
ощадливо,economically
ощаднии,savings account
паб,pub; public house (British English)
пава,peahen; peacock (n.)
павдовж,lengthwise; along the length
павза,pause n.
павзір,example; pattern; model
павзувати,to pause
павич,peacock
павільион,pavilion
павук,spider
павутиння,"cobweb, (spider) web"
пагін,shoot; sprout; runner; stolon
пагінація,pagination
пагода,pagoda
пагорб,"hill; bump, hump"
пагористии,hilly
пагорок,"hill(ock), knoll"
падаль,"carcass, carrion"
падання,"c fall, tumble"
падати,to fall; to drop; to descend
падачка,drop; sudden fall; (dialect) epileptic seizure
падаючии,falling
паддок,paddock
падіння,drop in prices
падлюка,bitch
падуб,holly
падучии,falling sickness n. (archaic) ; epilepsy n.
падчерка,"stepchild, stepdaughter"
паж,"bob, pageboy"
пажерливии,"ravenous, greedy, voracious"
паз,groove
пазл,jigsaw (puzzle)
пазур,"claw, talon"
паи,share; stock (in a company)
паиґ,cotton cloth; calico
паиовик,shareholder
паиок,share; portion; stake
пака,bye; farewell
пакет,bundle
пакетик,tea bag
Пакистан,Pakistan
пакистанець,Pakistani
пакистанка,Pakistani
пакистанськии,Pakistani
пакт,pact
пакувальнии,"wrapping, packing; wrapping paper"
пакування,packaging
пакувати,"pack, package"
пакунковии,package delivery; parcel service
пакунок,"pack, packet of sth"
паламар,sexton
палата,chamber of commerce
палатаі,chamber; room; ward
палатганом,palatganom — (unspecified)
палати,chambers; halls; rooms
палатка,tent
палатник,bookbinder
палахкотіти,blaze
палац,palace; summer residence
палена,burned adj.; scorched adj.
паленіти,to burn lightly; to smolder
палеозои,"the Palaeozoic, Paleozoic"
палеоліт,"Palaeolithic, Old Stone Age"
палеонтолог,"palaeontologist, (AmE)"
палеонтологиня,(female) palaeontologist
палеонтологія,"palaeontology, (AmE)"
Палестина,Palestine
палестинець,Palestinian
палестинка,Palestinian (woman)
палестинськии,Palestinian
палетизація,palletizing
палець,"finger, toe; middle finger; ring finger; fingerprints; thumb, big toe; index finger, forefinger; not to lift a finger; I've cut my finger."
паливнии,fuel tank
паливо,"fuel, propellant; (heating) fuel, fuel"
палити,smoke; burn
палиця,pole; (BrE)
паличка,stick; rod; small baton
паличник,"stick insect, walking stick"
паліативнии,palliative; palliative care
паліи,faggot; bundle of sticks or twigs
паління,smoking
палісад,"palisade, stockade"
палісадник,"front garden, (AmE)"
палітра,palette
палітурка,(book) binding
палітурник,bookbinder
палітурниця,(female) bookbinder
палка,stick
палкии,fiery; ardent; passionate
палмтоп,palmtop
паломник,pilgrim
паломництво,pilgrimage
паломниця,(female) pilgrim
палтус,halibut
палуба,deck
паль,palm n.; palm tree n.
пальма,palm; date (palm)
пальне,"fuel; refuel, (BrE); I've run out of petrol/ (AmE)"
пальник,"burner; camping gas, Primus stove"
пальто,"coat, cloak; paletot; winter coat"
паля,"pile, stilt"
палякати,"to frighten, to terrify"
паморозь,"rime, frost, hoarfrost, white frost"
паморока,n. misfortune; sorrow; grief
паморочитися,be/feel dizzy; I feel dizzy.; I feel giddy.; My head is spinning.
пампа,pampas (fertile South American lowlands)
памперси,disposable nappies
пампушка,pampushka; Ukrainian garlic bread roll
памфлет,lampoon
памʼятати,if I remember
пам'ятка,n. memo; reminder; note
памʼятка,"(historical) sight, monument; sightseeing (tour)"
пам'ятку,"in memory of, in remem b'ance a. commemoration of"
пам'ятнии,memorable
памʼятнии,commemorative
пам'ятник,n. monument; statue; memorial
памʼятник,"monument, memorial"
памʼять,memory
пан,"man, gentleman, mister; gentlemen pl; Mister!; Sir!"
Панама,Panama
панамець,Panamanian
панамка,light summer hat; bucket hat
панамськии,Panamanian
панацея,panacea for sth
пангасіус,pangasius
панда,panda (bear)
пандемія,pandemic
пандус,ramp; access ramp
панель,dashboard
панич,n. panics; fear
пані,"woman, lady; Madam!; Lady!; Ladies and gentlemen!"
панівнии,"domineering, overbearing, imperious"
паніка,panic
панікувати,"panic, get/become alarmed"
паніровании,breaded
панічнии,panic
панк,punk
панна,n. panna; pudding (historic term)
паннаа,stationery; paper; wax paper; parchment; vellum
паннаі,madam n.; miss n.
панорама,panorama
панорамнии,panoramic
панорамувати,to pan (camera)
пансіон,"full board, (AmE)"
пансіонат,boarding house
пантелик,confuse someone
пантера,panther
пантоміма,"pantomime, mime, dumb show"
пантофля,"slipper, mule"
панування,domination; colonial rule
панувати,"rule, govern, reign"
панцир,armour
панчоха,stocking; nylons
папа,dad; father
папаия,"papaya, (BrE)"
папараці,paparazzo
паперовии,paper cup
паперу,blank sheet of paper;
папір,"paper; document, deed"
папірець,litmus paper
папірня,n. paper mill; mill; paperworks
папіроса,ciggy
папіросниця,n. cigarette case; cigarette holder
папірус,papyrus
папка,directory
паплюжити,"to disgrace, to"
папороть,"ferns, fern"
паприкаш,stewed meat spiced with paprika
папськии,papal
Папуа-Нова Гвінея,Papua New Guinea
папуаськии,Papuan
папуга,parrot
пар,steam; vapor
пара,couple | steam
парабола,parable; parabola
параболічнии,parabolic
параван,screen; room divider
парагваєць,Paraguayan
Парагваи,Paraguay
парагваика,Paraguayan
парагваиськии,Paraguayan
параграф,article
Параґваи,Paraguay
парад,"procession, parade"
парада,n. parade; procession
парадигма,paradigm
парадокс,paradox
парадоксальнии,paradoxical
парадоксально,paradoxically
парадонтоз,periodontitis
парадувати,"to parade, to"
паразит,parasite; an organism living on or in a host and benefiting at the host's expense
паразитизм,parasitism
паразитичнии,"parasitic, parasitical"
паразитологія,parasitology
паразитувати,sponge off
паралелепіпед,cuboid
паралелограм,"parallelogram, rhomboid"
паралель,parallel
паралельнии,parallel
паралельно,"parallelly, in parallel"
паралеля,n. parallel; parallelism
параліза,n. paralysis; palsy
паралізовании,The accident left him paralysed.
паралізування,paralysation
паралізувати,paralyse sb/sth
паралімпіада,Paralympics
паралітик,n. paralytic; disabled person
параліч,"paralysis, palsy"
парамедик,paramedic
парамедикиня,"(female) paramedic, (female) rescuer"
параметр,parameter
парами,in pairs adv.; by pairs prep.
параноіднии,"paranoid, paranoiac"
параноік,"paranoid, paranoiac"
паранормальнии,paranormal
параноя,paranoia
парапланеризм,paragliding
параплегік,paraplegic
парасеилінг,parasailing
парасоль,n. parasol; sunshade
парасолька,beach umbrella
парафін,paraffin (BrE: kerosene)
парафіна,n. paraffin; kerosene
парафія,parish
парафраза,paraphrase
парафразувати,paraphrase
парафувати,to initial (a document); to sign at the margin
парашут,parachute
парашутист,parachutist
парашутистка,(female) parachutist
парвенюнвдмч,parvenu; nouveau riche
парень,boy; youngster (informal)
Париж,Paris
паристии,parities
паритет,parity
парити,to steam; to stew
парі,"bet, wager; bet, wager sth; betting"
парк,"amusement park, funfair; national park | depot"
паркан,fence
паркет,parquet; take (to) the floor
паркетина,parquet block
паркетник,parkett car; compact crossover SUV
парковка,parking; parking fee
паркомат,parking meter
паркувальнии,parking garage; parking disc
паркування,parking; parking space/place/spot
паркувати,park swh
паркур,"parkour, free running"
парламент,parliament
парламентськии,parliamentary
парлямент,parliament
парляментаризм,parliamentarianism
пармезан,Parmesan
парнии,even; doubles
парник,hotbed
парнокопитнии,"even-toed ungulate, artiodactyl"
парня,guy; boyfriend
парова,steam; vapor; gaseous
паровання,steaming (cooking method)
пароварка,steamer
паровии,steam
паровіз,paroviz
паровоз,steam locomotive
пародист,caricaturist
пародіювати,to parody; to imitate humorously or satirically
пародія,parody
пароль,enter the password
пароочисник,steam cleaner
пароплав,"steamer, steamship, steamboat"
паросток,sprout
парох,parson; pastor (n.)
парохія,parish
парта,school desk
партацтво,bungling; blunder; clumsy work
партач,botcher; bungler; someone who does poor-quality work
партер,parterre
партизан,"partisan, guerrilla"
партизанка,(female) partisan
партитура,score
партіинии,party (political); party member
партіиник,party member
партія,party (political group)
партнер,"partner, mate"
партнерка,(woman) partner
партнерство,partnership
партнерськии,partner(ship)
парубок,"youth, young man"
парувати,to evaporate; to steam; to give off vapor
паруватися,"copulate, mate"
парус,sail
парусина,canvas
парусник,sailing ship; sailboat
парфума,perfume; scent
парфумерія,perfumery
парфуми,perfume
пархи,scab (skin disease)
парцеля,parcel; package
парча,brocade
паршивии,"lousy, rotten"
пас,"cross, centering pass"
пасаж,passageway; (shopping) arcade
пасажерка,(female) passenger
пасажир,"passenger, traveller, (AmE); fare dodger, stowaway"
пасат,trade wind
пасатижі,combination pliers
пасгка,passka
пасгух,passugh
пасерб,stepson
пасербиця,stepdaughter
пасив,passive; liabilities
пасива,passiva; liabilities (accounting)
пасивнии,passive
пасивність,passivity
пасинок,"stepchild, stepson"
пасифлора,"passionflower, granadilla"
пасіка,"bee house, apiary"
пасічник,"beekeeper, apiarist"
пасічниця,(female) beekeeper
пасія,passion; zeal
паска,Easter bread
паскаль,pascal
паскувати,to profit unethically; to profiteer
паскудити,"to soil, to dirty;"
паскуднии,"filthy, foul"
паскудник,blackguard
паскудство,"smut, dirty stuff"
пасмо,lock of hair; strand
пасмуга,stripe; band; streak
пасовисько,"grazing, pasture"
пасовище,pasture (land)
пасок,"safety belt, seat belt"
паспорт,"passport; biometric passport; identity card, ID"
паспортнии,passport; passport control
паста,toothpaste
пастЕ,to pasture; to herd
пастель,crayon
пастельнии,pastel
пастеля,"a type of soft, flowing bedding or fabric"
пастеризація,"pasteurization, (BrE)"
пастеризовании,"pasteurized, (BrE)"
пастеризувати,"pasteurize, (BrE)"
пастернак,parsnip
пасти,"graze, pasture sth"
пастилька,lozenge; pastille; cough drop (n.)
пастися,graze
пастка,"trap, booby-trap"
пастор,pastor
пасторат,"parsonage, rectory"
пастух,herdsman; shepherd
пастушачии,pastoral
пастушии,pastoral
пастушка,heardswoman; shepherdess
пасувати,suit sb; You look great.; It's a bad fit.
Пасха,"Easter; Easter Island, Rapa Nui; at Easter"
пасхальнии,Easter
пат,pat; stalemate
пательня,pan
