ukrainian,definition
дебати,"debate, talk, discussion"
дебатувати,debate sth with sb
дебелии,stout
дебет,debit; direct debit
дебетувати,debit sth
дебіл,jerk
дебітор,debtor
дебітувати,to dispose of (goods)
дебра,"(-ри) ж gorge, ravine, cleave [where"
дебудь,"npc wherever, anyдебют ( у) ч first appearance, debut"
дебют,debut
дебютант,debutant
дебютувати,"debut, make one's"
девальвація,devaluation
девальвувати,devalue
девелопер,(property) developer
девіант,deviant
девіантнии,deviant
девіація,"deviation, deviance"
девіза,"(-зи) ж device, motto; (купе́птво) foreign exchange a. currency"
девіталізація,devitalization
девон,the Devonian (period)
девʼяностии,ninetieth; in the late nineties
девʼяносто,ninety
девʼятии,ninth
девʼятина,ninth
девʼятнадцятии,nineteenth
девʼятнадцять,nineteen
девʼятсот,nine hundred
девʼять,nine
дегенерація,degeneration
дегідратація,dehydration
деградація,"degradation, demotion"
деградувати,"demote, degrade sb"
дегуманізація,"dehumanization, (BrE)"
дегустатор,taster
дегустація,"degustation, tasting"
дегустувати,taste
деґенератство,"(-ва) с, ~ція (-ії) ж degene"" racy, degeneration I"
деґенерувати,"(СЯ) (-рую, -ру єш) to degenerate (into)"
деґрадувати,to degrade: (війсі)КОі - до ряловика́ to reduce to the ranks і
дедалі,"increasingly, more and more"
дедика,"́т (-у)ч deanery, deanship де́кілька чсл some; a little; a few деклям а́тор ( а) ч declaimer; ; ́ція ( ії) ж delegation"
дедикаторськии,declamatory;
дедикація,(ії) ж declamation; ; ( іі) ж decoration; театр. scenery; (пересувна́) shift-scene
дедикСЯ,"to declare for, against де́коли npc sometimes; now and then декор ативний decorative; — а́тор ( а) ч decorator; painter; театр, scene-painter;"
дедикувати,"to desert (the colours), to run away (from one's regiment) дезе́рція (-ії) ж desertion (of the colours); absence without leave [tion дезинфе́кція (-ії) ж desinfecдезинфікува́ти to desinfect дезорганізація (-ії) ж disorganization ; to recite, to declaim декляр а́ція (-ії) ж declaration; ~ува́ти to declare"
дедуктивнии,deductive
дедукція,deduction
дежавю,déjà vu
дезактивувати,deactivate
дезертир,deserter
дезертирство,"desertion, defection"
дезертирувати,"desert, defect"
дезінсекція,disinfestation
дезінфекція,disinfectant
дезінфікувати,disinfect
дезінформація,"disinformation, misinformation"
дезінформувати,misinform
дезодорант,deodorant
дезорієнтація,disorientation
дезорієнтовании,disoriented
дезорієнтувати,"disorient, (BrE)"
деитеріи,"deuterium, heavy hydrogen"
деінде,in some places
деінсталювати,uninstall
декаграм,decagram
декадентськии,decadent
декальцинувати,decalcify
декан,dean
декілька,several; several times
декламатор,"reciter, diseur"
декламація,"performance, recitation"
декламувати,recite
декларація,"declaration, proclamation"
декларувати,declare sth
декласувати,"downgrade, degrade"
деко,roasting pan
декодер,decoder
декодувати,decode
декольте,low-cut neckline
декомпресія,decompression
деконтамінація,decontamination
деконтамінувати,decontaminate
декор,floral decoration
декоративнии,"decorative, ornamental"
декоратор,decorator
декораторка,(female) decorator
декорація,scenery
декорум,decorum
декрет,maternity leave
декстроза,dextrose
делегат,delegate
делегація,"delegation, deputation"
делегувати,delegate
делікатес,"delicacy, dainty, titbit"
делікатнии,discreet
делікатність,delicacy
дельта,delta
дельтаплан,hang-glider
дельтапланеризм,hang-gliding
дельфін,dolphin
демагог,demagogue
демагогічнии,"demagogic, demagogical"
демагогія,demagogy
демакіяж,make-up removal
демаскувати,to unmask
деменція,dementia
демілітаризація,"demilitarization, (BrE)"
демілітаризувати,demilitarize
демо,demo
демобілізація,"demobilization, (BrE)"
демобілізаціяува,́ти to demobilize
демографічнии,demographic
демографія,demography
демократ,democrat
демократизація,"democratization, (BrE)"
демократизувати,"democratize, (BrE)"
Демократична Республіка Конго,Democratic Republic of the Congo
демократичнии,democratic
демократично,democratically
демократія,democracy
демократка,(female) democrat
демон,demon
демонстрант,"demonstrator, protester"
демонстрантка,(female) demonstrator
демонстративнии,"demonstrative, ostentatious"
демонстрація,"demonstration, manifestation; demonstration"
демонструвати,demonstrate against sth; demonstrate sth
демонстува,́ти to demonstrate
демонтаж,"dismantling, disassembly"
демонтувати,"dismantle, disassemble sth"
деморалізація,"demoralization, (BrE)"
деморалізаціяува,́ти to demoralize
деморалізувати,demoralize sb
демотивовании,demotivated
демотивувати,"demotivate, discourage"
демотивуючии,disheartening
демпінг,dumping
демпінґ,(-у)'ч dumping
денатурат,(-у) ч methylated (а. debased) spirits мн
денатуровании,denatured
дендраріи,arboretum
дендропарк,arboretum
де-небудь,"somewhere, (AmE)"
де-не-де,"here and there, in (some) places; in some places"
денім,denim
денне,^o daylight: місячне ~o
деннии,daily
дентин,"dentine, dentin"
дентист,"(-а) ч dentist, dental"
денце,( ця) с lid
день,"day, daytime; these days; every other day; in the morning, before noon; nowadays, these days; rest day; open day, (AmE); birthday; workday, working day; in full daylight, in broad daylight; All Souls' Day; from day to day; at three p.m.; twice/three times a day; Hello!"
департамент,department
депеша,(-ші) ж dispatsch;
депілятор,"depilator, hair remover"
депіляціинии,depilatory
депіляція,"depilation, hair removal; depilate"
депо,"depot, (AmE)"
депозит,deposit
депортація,deportation
депортувати,deport
депресивнии,depressive
депресія,depression; manic depression
депресняк,dumps
депривація,sleep deprivation
депутат,"deputy, Member of Parliament, MP; deputy of the Ukrainian Parliament"
депутатка,"(female) deputy, (BrE)"
дератизація,rodent/rat control/extermination
дератизувати,exterminate the rats in sth
дербі,derby
дерев,blossom; flowering
деревина,"wood | timber, (AmE); hardwood"
деревіи,"yarrow, milfoil"
деревнии,woody
дерево,tree
деревце,(small) tree
деревʼянии,wooden
дерегулювати,"deregulate, decontrol"
дерегуляція,"deregulation, (AmE)"
дерен,(a piece of) turf; cornel
деренчало,rattle
держава,state; power
Держави,Аме́рикиUnited States of Amerika
державнии,state; public contract; government employee
держак,razor-shell
держборг,national debt
держбюджет,state budget
держзрада,(high) treason
держіспит,"finals, degree examination, state exam(ination) in sth"
дериват,derivative
дериватив,financial derivatives
деривація,derivation; (first) derivative
деркач,"crake, rail; corncrake, land rail"
дерма,"corium, derma"
дермальнии,dermal
дерматит,dermatitis
дерматолог,dermatologist
дерматологиня,(female) dermatologist
дерматологія,dermatology
дерун,potato pancake
десантник,para
десерт,"dessert, (BrE); What's for afters?"
десертнии,dessert; dessert wine
десинхроноз,"jet lag, (BrE)"
десктоп,desktop
деспот,despot
деспотизм,"despotism, tyranny"
деспотичнии,despotic
деспотія,"despotism, tyranny"
дестабілізація,"destabilization, (BrE)"
дестабілізувати,"destabilize, (BrE)"
дестинація,destination
деструктивнии,destructive
десь,"somewhere, (AmE)"
десятиборець,decathlete
десятиборство,decathlon
десятии,tenth; at ten a.m.
десятиліття,decade
десятка,ten
десятковии,"decimal, denary; decimal place"
десяток,ten
десять,ten
деталь,detail
детальнии,detailed
детальніше,in more detail
детально,in detail
детектив,detective; detective story
детективнии,detective
детектор,"detector; polygraph, lie detector; smoke alarm"
детермінант,"determinant, determiner"
детермінізм,determinism
детермінувати,determine sth
детоксикація,detoxication
детонатор,detonator
детонація,detonation
дефекація,defecation
дефект,"defect, failure, malfunction, fault, flaw, malformation; speech impediment; hidden/latent defects"
дефектнии,"defective, faulty"
дефензива,(-ви) otc defensi ve; у ~ і on the defensive;
дефензивнии,defensive [ency
дефібрилятор,defibrillator
дефілювати,parade
дефіс,hyphen
дефіцит,deficit; budget deficit; sleep deficit
дефіцитнии,"deficit, in short supply, scarce; scarce goods, goods in short supply"
дефіцитя,́да (-ди) ж march(ing) past
дефляція,deflation
деформація,deformation
деформува,"́ти to disfigure, to deform, to deface, to put out of shape"
деформувати,"deform, distort"
дефравдіація,"(-ії) ж peculation, embezzlement,fraud, suppression"
дефростер,"de-icer, defroster"
дехто,"someone, somebody; some of them"
децентралізація,"decentralization, (BrE)"
децентралізаціяува,́ти to decentralize
децентралізовании,decentralized
децентралізувати,"decentralize, (BrE)"
децибел,decibel
децилітр,"decilitre, (AmE)"
дециметр,"decimetre, (AmE)"
дешевии,"cheap, inexpensive"
дешево,cheaply
дешифрувати,decode
дещо,something
деякии,"some, any"
джаз,jazz
джазмен,"jazzman, jazz musician/player"
джазовии,jazz
джаив,jive
джакузі,"whirlpool (bath), Jacuzzi"
джгутик,flagellum
джгутиковии,flagellate
джеб,jab
джез,"(-у), (джаз (-у)) ч jazz"
джекпот,jackpot
джем,jam
джемпер,cardigan
дженерик,generic (drug)
джентлмен,(-а) ч gentleman;
джентлменка,(-ки) ж gentlewoman;
джентлменськии,gentlemanlike
джентльмен,gentleman
джерело,source of income
джиґун,(-уна́) ч dandy
джин,gin
джинси,"(blue) jeans, denims"
джип,Jeep
джихад,jihad
джихадист,jihadist
джміль,bumblebee
джоґинґ,jogging
джоистик,joystick
джокер,joker
джонка,junk
джоуль,joule
джунглі,jungle; the law of the jungle
джунґля,(-лі) ж jungle
джура,(-ри) ч officer's man
джут,jute
дзвеніти,"clink, tinkle, jingle, chink"
дзвенькнути,clink
дзвін,bell
дзвіниця,belfry
дзвінкии,voiced
дзвінок,local call
дзвонар,"sexton, bell-ringer, (bell) ringer"
дзвоненник,"(-а) ч rug дива́цтво (-ва) c strangeness, oddity; whimsicalness; caprice, freak, whim дива́чн[ість (-ности) ж oddity"
дзвонення,"c ringing (the bell), дивниця pull (а. ring) of the bell, sound І of a bell; похоро́нне ~ funeral knell"
дзвоник,"(small) bell; bellflower, campanula"
дзвонити,BrE
дзен,Zen
дзень-дзелень,ding-a-ling
дзеркало,mirror; outside/wing mirror; rear-view mirror
дзеркальце,mirror
дзиґа,spinning top
дзижчання,"drone, humming, buzzing, buzz"
дзижчати,"whirr, drone"
дзьоб,"beak, bill"
дзьобати,peck
дзюдо,judo
дзюдоіст,judoka
дзюдоістка,(female) judoka
дзюрчати,murmur
дзявкання,bark
диба,the rack
дивак,"oddball, odd fish"
дивакуватии,"eccentric, freaky"
диван,"sofa, couch, settee, divan; sofa bed"
дивацтво,eccentricity
дивацькии,"eccentric, freaky"
диверсифікувати,diversify
диверсія,sabotage
дивина,oddity | mullein
дивитися,"stand by, sit back; stare into space; look surreptitiously at sb/sth; look down one's; regardless, irrespective of sth; Eyes right!; Behold!"
дивіденд,dividend
дивізіон,division
дивізія,division
дивнии,"strange, odd, curious, funny, queer"
дивно,"strangely, oddly; surprisingly, funnily (enough), curiously (enough), interestingly (enough)"
диво,miracle
дивовижа,"(-жі) ж miracle; curious, queer, odd story"
дивовижнии,surprising
дивовижно,admirably; What a beauty!
дивом,miraculously
дивуватися,"marvel at sth , be amazed by sth"
дигестив,digestive
дигіталізація,"digitization, digitisation"
дидактичнии,"didactic, teaching"
дижур,"(-у) ч function, official duty; мати ~ to be on duty"
дизаин,design; graphic design
дизаинер,designer; graphic artist/designer
дизаинерка,(female) designer
дизель,diesel engine
дизельнии,oil(-fired); diesel engine
дизентерія,dysentery
дик,"(-а) ч wild pig, boar"
дикар,"(-аря́), ч ~ка (-ки) ж savage; обр.: хло́пепь madcap; дівчина romp, tomboy"
дикии,Wild West
дикість,(-кости) ж wildness; savageness; fierceness
дико,"wildly, savagely"
дикобраз,porcupine
дикта,(-ти) ж ply-wood
диктант,dictation
диктат,(-ту) ч dictation; (нака́з) dictate
диктатор,"dictator, authoritarian"
диктаторськии,dictatorial
диктатура,dictatorship
диктор,"announcer; newsreader, newscaster"
дикторка,(female) announcer
диктофон,voice recorder
диктувати,dictate
дикун,savage
дикція,diction
дилема,dilemma
дилер,"(sales) representative, (sales) rep; concessionaire"
дилерка,female (dealer)
дилетант,"amateur, dabbler, layman, layperson"
дилетантизм,"(-у) ч amateurishness, amateurship, dilettantism"
дилетантськии,"lay, amateurish"
диліжанс,stagecoach
дим,smoke
димар,chimney
димити,smoke
димитися,smoke
димісія,(-її) ж dism ssal; подава́тися до димісії to hand (а. send) in one's resignation
димовии,(of) smoke
димчастии,"smoked, smoky; smoked glass"
динаміка,dynamics
динаміт,dynamite
динамічнии,"dynamic, dynamical; dynamic person"
динамічно,dynamically
динамо,dynamo
династія,dynasty
динго,dingo
динломат,"(-a) ч diplomatist; statesman, politician"
динломатка,"(-ки) ж managei ess; directress; (школи) headmistress дире́кція (-ії) o/c management, administration; (уряд) directorship; (школи) directorate; (все -нотної школи) head(master)ship дириґент (-а) ч conductor, leader"
динломатрнии,"disciplinary дитин І а (-и) ж, ~ я́ (-ти) c child, мн. children, (нижче семи ро́ків) infant; улюблена"
динломатство,"(-ва) с (дитя́чий вік, дитя́чі літа́) childhood дифте́рія (-ії) ж diphteria дихави ця (пі) ж asthma;"
динломатчнии,"asthma t с дихати to breathe дичиЬа́ (-ни) ж game; (м'ясо) venison дичі́ти to turn wild а. savage; to be shy а. unsociable; to grow wild a. savage; (про рослини) ""to run to seed a. to waste"
динозавр,dinosaur
диня,muskmelon
диплом,diploma; award an academic degree to sb
дипломат,"briefcase, attach"
дипломатичнии,diplomatic
дипломатичність,diplomacy
дипломатія,diplomacy
дипломатка,(female) diplomat
дипломовании,graduate
директива,directive
директор,"the board, board of directors"
директорка,manageress
диригент,"conductor, (AmE)"
диригентка,(female) conductor
диригувати,conduct
дисбаланс,imbalance
дисгармоніинии,disharmonious
дисграфік,dysgraphic
дисграфія,dysgraphia
дисертація,"dissertation, doctoral thesis"
дисидент,dissident
дисидентство,dissent
дисидентськии,dissident
диск,disk
дискаунтер,discount store
дискваліфікація,disqualification
дискваліфікувати,disqualify
диск-жокеи,"disc jockey, DJ"
диско,disco
дисковод,"disk drive, disc drive"
дискографія,discography
дисконт,discount
дисконтнии,discount
дискотека,discotheque
дискредитувати,discredit sb/sth
дискримінаціинии,discriminatory
дискримінація,discrimination against sb; age discrimination; racial discrimination
дискримінувати,discriminate against sb
дискусіинии,(of) discussion
дискусія,discussion
дискутабельнии,"arguable, disputable, debatable"
дискутант,discussant
дискутувати,"discuss, debate sth"
дислексія,dyslexia
дислектик,dyslexic
дислокація,deployment of sth
диспансер,medical counselling office
диспансеризація,screening
дисперсія,"dispersion, scattering; variance"
диспетчер,"controller, dispatcher; (train) dispatcher"
диспетчерка,"(female) controller, dispatcher"
дисплеи,monitor
диспное,"breathlessness, shortness of breath"
диспропорція,disproportion
диспут,controversy
дистанціинии,"teleworking, telecommuting"
дистанціино,remotely; work remotely
дистанціюватися,"dissociate, disassociate osf from sb"
дистанція,distance
дистильовании,distilled
дистилювати,"distil, (AmE)"
дистилят,"spirit(s), (distilled) liquor"
дистиляція,distillation
дистрибутор,distributor
дистрибуція,distribution
дистрофія,dystrophia
дисфункціональнии,dysfunctional
дисфункція,dysfunction
дисципліна,discipline
дисциплінарнии,disciplinary; take disciplinary action against sb
дисципліновании,disciplined
дисципліновано,in a disciplined way
дисциплінувати,discipline sb
дитина,suckling; (an) only child; children; illegitimate child; have a child/baby; change the baby
дитинство,childhood; from childhood
дитинча,young
дитмаиданчик,playground
дитя,kid
дитячии,nursery
дитячість,childishness
диференціал,differential (gear); differential
диференціальнии,differential
диференціація,differentiation
диференціювати,differentiate
дифтерія,diphtheria
дифтонг,diphthong
дихальнии,"breathable, respiratory, (of) breathing; respiratory system; ventilator"
дихання,kiss of life
дихати,breathe
дичина,game
дишель,(carriage) shaft
дишиця,"(-ці) ж (апаш.) windpipe, trachea"
дишло,"towbar, trailer hitch"
диявол,devil; Tasmanian devil; possessed by the devil
диявольськии,fiendish device
диякон,deacon
діабет,diabetes
діабетик,diabetic
діабетичнии,diabetic
діагноз,diagnosis
діагностика,diagnostics
діагностичнии,diagnostic
діагностувати,diagnose
діагональ,diagonal
діагональнии,diagonal
діаграма,"chart, diagram, graph"
діадема,diadem
діакритика,diacritics
діакритичнии,"diacritic, diacritical"
діалект,dialect
діалектика,dialectic(s)
діалектичнии,"dialectical, dialectic"
діаліз,dialysis
діалог,"dialogue, (AmE)"
діамант,"brilliant, diamond"
діаметр,diameter of sth
діаметральнии,diametric
діапазон,spectrum
діапозитив,"slide, transparency"
діарея,"diarrhoea, (AmE); have diarrhoea; antidiarrhoeal (drug)"
діаспора,diaspora; diaspore
діафрагма,"diaphragm, midriff; diaphragm"
діброва,"(-ви) ж oak-wood,"
діва,maiden; Virgo
дівати,"to get out of the way, to remove; to place; to put;"
діватся,to get to; де дівся мій годинник? what has become of my watch?; (пропа́сти) to
дівиця,old maid
дівич-вечір,"hen night, bachelorette party, hen party"
дівка,(-ки) ж maid; jade
дівоІцтво,"(-ва) c virginity, maidenhood"
дівоІцтвцькии,(невинний) virgin
дівоцтво,girlhood
дівочии,"hymen, maidenhead"
дівчина,girl
дівчинка,(little) girl
дід,"grandad, granddad"
діджеи,"disc jockey, DJ"
дідик,"(-а) ч (до. горіхів, товка́чик) nutcracker"
дідич,"(-а) ч landowner, squire, lord of a manor"
дідуган,(-а) ч rigorous robust
дідусь,grandparents
діДько,(-ка) ч devil
дієвии,efficacious
дієвідмінювання,conjugation
дієвідмінювати,conjugate
дієгм,~ ДІВЧИНІ it becomes
дієздатнии,"legally competent, sui juris"
дієздатність,legal capacity
дієприкметник,"participle, transgressive"
дієслово,verb
дієта,diet; I'm on a diet.
дієтичнии,"diet, dietetic"
дієтолог,"nutrition expert, nutritionist"
дієтологія,dietetics
діжа,(-жі́) kneading-trough
діжка,"tub, vat"
дізнаватися,"to learn, to come to know; to be told, to inquire: про особу after, for; про річ about"
дізнатися,learn
діика,"(-ки) ж teat, dug дім дійн ий, ~ а́ корова milch cow"
діикаиця,"(-ці) ж milking-tub; milking-pail дійсн|ий real; (правдивий) true; actual; intrinsic(al); valid, in force; ~a поді́я fact, matter of fact"
діикаубо,́гих alms-house; товаро́вий ~ drapery store
діиовии,efficacious
діиснии,the indicative
діисність,"reality; in actuality, in reality"
діисно,"really, actually, indeed, truly; really"
діити,When it comes to it
діишлодомого,~a it has
ділення,division
ділити,carve
ділитися,share
діло,"business, issue, affair, matter"
діловии,working
діловодство,"clerical work, desk job"
дільник,divisor
дільниця,police station
ділянка,"plot (of land), (AmE)"
дім,feel like at home
діод,diode
діоксид,dioxide
діоксин,dioxin
діоптрія,"dioptre, (AmE)"
діра,hole
діравити,to punch (біле́ти);
дірватися,"(до чогось) to catch,"
дірк,"(ув)а́тий porous, perfoдірочка (-ки) ж (в ґумі, ко- j"
дірка,hole; punch a hole in sth
діркопробивач,(hole) puncher
дірявии,"holey, perforated"
діставати,"to get; (лист, нака́з і т. д.) to receive, to have;"
діставатися,"(кудись) to ar-,"
дістати,"recover, regain sth"
дістатися,get into sth; How do I get there?
дітвацькии,nugatory
дітвора,(-ри) ж children мн
дітися,disappear
діуретик,diuretic
діючии,active volcano
дія,scene
діябет,(-у) ч мед. diabetes;
діябетик,(-а) ч diabetic
діягноза,(-зи) ж diagnosis;
діялект,"(-у) ч dialect,-idiom;"
діялектичнии,dialectic(al)
діялог,"(-у) ч dialogue, colloquy"
діяльнии,active
діяльність,subversion
діяти,We must take action
діяч,statesman
діячка,(female) official
длубатися,pick (at) sth
для,for sth
дмухати,blow (hard)
Дніпро,Dnieper m
ДНК,DNA
дно,"bottom, bed; go under; at/on the bottom of sth; (down) to the bottom; Bottoms up!"
дня,from day to day; в день
днями,for whole days
до,Come to our place
доба,I need a room for three days
добавити,add sth to sth
добавка,additive; food supplements
доберман,Doberman
добити,finish off sb
добитися,accomplish sth
добігати,arrive
добір,"choice, selection, pick"
добірка,collection
добірнии,choice
доблеснии,"valiant, valorous"
добовии,"all-day, (AmE)"
добові,AmE
добрати,"use up, finish"
добратися,arrive at/in sth
добре,Okay
добриво,"fertilizer, (BrE); artificial fertilizers"
добрии,good
добрість,"(-рости) ж goodness,"
добро,(the) good; do good
добробут,"affluence, prosperity"
добровільнии,voluntary
добровільність,volunteering
добровільно,voluntarily
доброволець,volunteer; volunteer to do sth
добровольчии,voluntary
добродіи,(-дія) ч benefactor;
добродіинии,"charitable, philanthropic, beneficent"
добродіинииість,(-ности) ж charity [kindness
добродіиство,"(-ва) c benefit,"
добродушнии,"kind-hearted, good-hearted"
доброзичливии,benevolent
доброзичливість,"kindness, benevolence, goodwill"
добросердечнии,"kind-hearted, good-hearted"
добросовіснии,"conscientious, dutiful"
добросовісність,conscientiousness
доброта,goodness
доброчеснии,moral
доброчесність,"virtue, chastity"
доброчинність,charity
доброякіснии,(high-)quality; benign
добряга,(-ги) ч good man
добряк,good-natured person
добрячии,kind (to - для)
добування,extraction of sth
добувати,mine (for) sth
добудовувати,to build an
добудувати,complete (the construction of) sth
добути,extract sth
добуток,product
довбатися,"fiddle, tinker with sth"
довбня,"sledgehammer, maul"
довг,(-у́) ч debt; debit; (мо
довгастии,oblong
довгии,long
довго,long; how long
довговічнии,long-lived
довговічність,longevity
довговолосии,long-haired
довголітніи,"long-time, long-standing"
довгоносик,"weevil, snout beetle; grain weevil"
довгоочікувании,long-awaited
довгостроковии,long-term
довгота,longitude
довготривалии,"long-term, long-lasting"
довгошерстии,long-haired
доведении,"proven, tried (and tested)"
довезти,bring sb
довершити,complete sth
довести,make sb cry
довжина,"linear measure, measure of length"
довжним,"to owe to ! догля́нути довідуватися to learn; to come to know; to be told до́відка (-ки) ж proof of one's identity; (інформа́ція) information, report, account до́віз (-возу) ч conveying, transporting; supply довільний arbitrary довірен ий intimate,familiar;"
довжнимість,"(-ности) ж familiarity довірений confidential довір'я c trust (до - in); faith (до-to); confidence; мати ~ to trust (до-in); по́вний ~ confidential, trustful довірливий confiding, trustful, trusting; credulous довіря́ти to trust; to entrust (a. th. to a p.); не ~ to mistrust довкіл ля c surroundings мн.;"
довжнимьнии,"surrounding довко́ла npc round about, around, all round дово́лі npc enough, sufficiently; prefty, tolerably"
довідатися,"find out, discover sth"
довідка,"certificate, certification; (BrE); criminal record certificate; medical/doctor's certificate"
довідковии,information
довідник,"directory; telephone book, (telephone) directory"
довіз,import
довізник,contractor
довільнии,arbitrary
довіра,"confidence, trust in sb; helpline; ingratiate osf; have confidence in sb"
довірении,plenipotentiary
довіреність,"power of attorney, authorization, (BrE)"
довірити,charge sb to do sth
довіритися,confide sth to sb
довірливии,"trusting, gullible, credulous"
довірливість,"trustfulness, trustingness"
довірчии,fiduciary
довіряти,I trust him absolutely
довічнии,"(for) life, lifelong, life('s); lifetime warranty; life imprisonment, life sentence"
довічно,"for life, to one's"
довкілля,the environment
довкола,around
довколишніи,surrounding
доводитися,"must, have to do sth"
довоєннии,pre-war
довчити,catch up on sth
довчитися,finish one's
довшии,prolonged
дог,Great Dane
догана,"admonition, reprimand, rebuke; rebuke, reprimand sb for sth"
догикати,"(ся) to touch; (ага да́іи) to touch (upjon, to, allude (to і I gibe"
догледіти,keep an eye on sb
догляд,unattended
доглядати,babysit for sb
доглядач,"guardian, supervisor"
доглядачка,(female) supervisor
догма,dogma
догматичнии,dogmatic
догнати,catch up with sb
договір,"contract, agreement, accord, treaty; employment contract; conclude/make a contract; terms of contract; contract of sale, sales contract; lease agreement/contract; peace treaty"
договірнии,contractual obligations
договорити,"finish (speaking), finish (telling); Let me finish."
договоритися,to come to an
догоджувати,"to satisfy, to"
догодити,accommodate sb
догори,"up(wards); the other way around, upside down"
дограти,finish
додавання,addition
додании,BrE
доданок,"addend, summand"
додати,"have seconds, have some more"
додатковии,BrE
додатково,"in addition, additionally to sth"
додаток,attachment; object
додержання,observance of sth
додержати,keep
додержувати,"abide by, observe sth"
додзвонитися,get through to sb
додолу,"down, downwards"
додому,home
додрукування,reprint
додуматися,"guess, figure out"
доєння,c milking
дожджаник,(-а) ч earth-worm
дожидати,"to wait for, to exдо́за (-зи) ж dose | pect"
дожити,live to see sth
дожитися,live to see sth
доза,"dose, dosage; booster (shot)"
дозаправити,refuel
дозатор,dispenser
дозвіл,obtain permission
дозвілля,"spare time, leisure (time); leisure centre"
дозволении,"allowed, permitted, permissible, allowable"
дозволити,permit sth
доземо,npc vertical; машем. >
дозиметр,"dosimeter, dosemeter"
дозиметрія,dosimetry
дозорець,"( рця) ч inspector, І"
дозрівання,ageing
дозрівати,ripen sth
дозріти,"ripen, mature"
дозування,dosage
дозувати,dose sth
доіжджати,commute
доіння,milking
доісти,"finish eating, finish one's"
доісторичнии,prehistoric
доіти,milk
доіхати,arrive at/in sth
док,dock
доказ,"proof, evidence of sth; direct evidence; supply evidence"
доказати,finish
доказовии,conclusive
докатка,temporary spare tyre/ (AmE)
доки,as long as
докинути,throw (as far as)
докінчити,finish
докір,"reproach, reproof, rebuke; pangs of conscience, twinges of conscience; have no scruples"
докірливии,reproachful
докладати,"strive for sth, to do sth"
докладении,enclosed
докладнии,detailed
докладніше,in more detail
докладнішии,more detailed
докладно,extensively
докласти,make every effort to do sth
доконании,"perfective; fait accompli, accomplished fact"
докорити,reproach sb for sth
докоріннии,fundamental
докорінно,fundamentally
докоряти,"reprimand, admonish sb for sth"
доктор,doctor
докторант,postgraduate student
докторка,(female) doctor
докторськии,doctoral
доктрина,doctrine
документ,"ID, papers"
документаліст,documentarist
документалістика,documentary production
документалістка,(female) documentarist
документальнии,documentary
документація,documentation
документувати,document sth
докупити,buy some more sth
докучати,"pester, importune sb"
докучливии,"irritating, annoying"
докучливість,"nuisance, bother"
долар,dollar
доленоснии,"fatal, fateful"
доливати,"to add by pouring in, to pour into"
долина,valley
долити,refill sth with sth
долі,"npc down, downward; below"
долівка,(-ки) ж floor
долітати,to come flying
долішніи,"(-ня, -нє) low(er), inferior [(of the hand)"
долоня,palm
долото,chisel
долучитися,join sb
доля,"fate, destiny"
долягати,"to pain, to cause (a. give) pain to, to make suffer"
доляр,(-а) ч dollar
дома,(at) home
домагання,sexual harassment
домагатися,"molest, harass sb"
домашніи,home-made
домашніиє,во́гнище home [land
домен,domain
домисел,"surmise, conjecture"
домівка,abode
домінанта,"dominant feature, landmark"
домінантнии,dominant
Домініка,Dominica
Домініканська республіка,Dominican Republic
домініканськии,Dominican
домініон,domain
домінія,"(-нії)ж domain, crownдоміно́ (-на́) с (одяг) domino; (гра) (game of) dominoes мн. грати в ~to play (at) dominoes"
доміно,dominoes
домінування,domination
домінувати,dominate sth
домішати,mix sth into sth
домішка,admixture; additive-free
домішувати,to mix a th. with
домкрат,jack; jack up
домна,(-ни) ж (доме́нна піч) (blast) furnace; founding furnaдомовина (-ни) ж coffin [се
домовии,house
домовик,"elf, imp, sprite"
домовина,"coffin, (AmE)"
домовити,arrange sth
домовитися,Are we agreed
домовлении,"agreed, (pre-)arranged"
домовленість,convention; collusion
домовлятися,"bargain, haggle"
домогосподарка,housekeeper
домогосподарство,household
домогтися,exact sth
домофон,"intercom, home phone"
донат,donation
донести,denounce sb
донечка,(little) daughter
донизу,"down, downwards"
донині,to this day
донор,donor
донорство,donation; blood donation
донос,denunciation
доносити,inform on/against sb
донощик,grass
донька,daughter
допис,post
дописати,finish writing
допит,"examination, interrogation; cross-examination"
допитати,question the suspect
допити,finish one's drink
допитливии,rubberneck
допитувати,"question, interrogate sb"
допінг,doping
доплата,"premium, supplement"
доплатити,pay
допливти,"reach sth , swim"
доповідати,report sth to sb
доповідь,"paper, treatise"
доповісти,report sth to sb
доповнення,"addition, complement to sth; amendment to the contract, rider to the contract"
доповнити,complete
допоки,as long as
допомагати,assist sb with sth
допоміжнии,adjuvant therapy; assistive devices
допомога,"by means of, using sth"
допомогти,Could you help me?
допотопнии,antediluvian
допроводжувати,escort sb
допускати,"admit, tolerate"
допустимии,admissible
допустити,admit
дораджувати,"to counsel, to"
дорадчии,"consultative, consultatory"
доречнии,opportune
дорібок,(-бку) ч acquisition
дорівнювати,"equal sth , be equal to sth"
доріжка,"moving sidewalk, moving walkway, travolator"
дорікання,"reproof, rebuke"
дорікати,reproach osf for sth
дорікнути,reproach sb for sth
доріст,(-росту) ч after-growth;
дорічнии,annual; ~o npc
доробити,get through sth
доробкевич,(-а) ч upstart
дорога,road
дорогии,"costly, expensive"
дорого,It's expensive here.; It's pretty expensive.
